Cod. Cliente;Loja;Município;UF;Zona
502561;1;SUMARE;SP;SP2217
502563;1;SAO PAULO;SP;SP1104
502574;1;SAO PAULO;SP;SP1107
502577;1;JACAREI;SP;SP2219
502579;1;SAO PAULO;SP;SP1111
502581;1;VARGEM GRANDE PAULISTA;SP;SP1108
502603;1;SAO PAULO;SP;SP1120
502604;1;MOGI DAS CRUZES;SP;SP2216
502606;1;DIADEMA;SP;SP1103
502611;1;BARUERI;SP;SP1119
502622;1;SAO PAULO;SP;SP1105
502624;1;SAO PAULO;SP;SP1121
502628;1;SAO PAULO;SP;SP1120
502630;2;SAO PAULO;SP;SP1121
502630;1;SAO PAULO;SP;SP1121
502657;1;MARIAPOLIS;SP;SP2209
502673;1;SANTANA DE PARNAIBA;SP;SP1119
502689;1;SAO PAULO;SP;SP1105
502696;1;SAO PAULO;SP;SP1107
502705;1;SANTA BRANCA;SP;2100SP
502705;1;SANTA BRANCA;SP;SP2219
502708;1;SAO PAULO;SP;SP1122
502712;1;NAZARE PAULISTA;SP;SP1116
502721;1;BOFETE;SP;SP2217
502722;1;IBITINGA;SP;SP2207
502723;1;SAO PAULO;SP;SP1115
502729;1;ITAPOLIS;SP;SP2207
502731;1;BARUERI;SP;SP1119
502733;1;MANDURI;SP;SP2207
502735;1;SAO PAULO;SP;SP1120
502745;1;SAO PAULO;SP;1101SP
502745;1;SAO PAULO;SP;SP1101
502775;1;SAO VICENTE;SP;SP1104
502778;1;PIRACICABA;SP;SP2217
502788;2;PORTO FELIZ;SP;SP2214
502794;1;SOROCABA;SP;SP2204
502798;1;SAO PAULO;SP;SP1104
502804;1;GUARULHOS;SP;SP1117
502809;1;SAO BERNARDO DO CAMPO;SP;SP1103
502810;1;CASA BRANCA;SP;SP2208
502812;1;SAO PAULO;SP;1101SP
502812;1;SAO PAULO;SP;SP1111
502825;1;SAO PAULO;SP;SP1122
502829;1;CRUZEIRO;SP;2100SP
502829;1;CRUZEIRO;SP;SP2219
502833;1;EMBU DAS ARTES;SP;SP1123
502853;1;ITAQUAQUECETUBA;SP;SP1116
502860;1;SAO PAULO;SP;SP1107
502878;1;MAUA;SP;SP1106
502883;1;SAO JOSE DO RIO PRETO;SP;SP2206
502893;1;SAO PAULO;SP;SP1106
502894;1;SAO PAULO;SP;SP1119
502909;1;AGUAI;SP;SP2208
502914;1;SAO PAULO;SP;SP1111
502921;1;SAO PAULO;SP;SP1115
502924;1;EMBU DAS ARTES;SP;SP1123
502925;1;JALES;SP;SP2213
502928;1;SALESOPOLIS;SP;2100SP
502928;1;SALESOPOLIS;SP;SP2216
502931;1;BAURU;SP;SP2207
502945;1;POTIRENDABA;SP;SP2206
502948;1;SAO PAULO;SP;SP1124
502950;1;SAO PAULO;SP;SP1116
502957;1;SANTA RITA D'OESTE;SP;SP2213
502961;1;BAURU;SP;SP2207
502970;1;MAUA;SP;SP1106
502975;1;DIADEMA;SP;SP1103
502976;1;SAO PAULO;SP;SP1112
502984;1;GALIA;SP;SP2211
502991;1;SOROCABA;SP;SP2204
502998;1;SUMARE;SP;SP2217
503031;1;BARUERI;SP;SP1119
503044;1;GUARACAI;SP;SP2202
503047;1;NOVO HORIZONTE;SP;SP2211
503055;1;BARUERI;SP;SP1119
503056;1;SAO PAULO;SP;SP1104
503066;1;RIBEIRAO PRETO;SP;SP2212
503071;1;SAO BERNARDO DO CAMPO;SP;SP1103
503073;1;GUARULHOS;SP;SP1117
503090;1;SAO PAULO;SP;SP1122
503096;1;SAO JOAO DO PAU D'ALHO;SP;SP2209
503099;1;BATATAIS;SP;SP2212
503109;1;SAO PAULO;SP;SP1124
503113;1;GUARULHOS;SP;SP1117
503163;1;TAUBATE;SP;SP1098
503165;1;SAO PAULO;SP;SP1101
503213;2;FRANCA;SP;SP2000
503213;1;FRANCA;SP;SP2000
503217;1;SAO PAULO;SP;SP1124
503233;1;ITAPEVI;SP;1102SP
503233;1;ITAPEVI;SP;SP1108
503252;1;GUARULHOS;SP;SP1117
503255;1;SAO PAULO;SP;SP1107
503267;1;AGUAS DA PRATA;SP;SP2208
503268;1;IBITINGA;SP;SP2207
503274;1;SOROCABA;SP;SP2204
503281;1;SANTO ANDRE;SP;SP1118
503301;1;COLINA;SP;SP2212
503311;1;MAUA;SP;SP1106
503313;1;SAO PAULO;SP;SP1112
503322;1;AMERICANA;SP;SP2210
503329;1;SAO PAULO;SP;SP1124
503330;1;MOGI DAS CRUZES;SP;SP2216
503333;1;GUARULHOS;SP;SP1117
503345;1;JUNDIAI;SP;SP2214
503349;1;SUZANO;SP;SP2216
503351;1;SAO PAULO;SP;SP1106
503352;1;RIBEIRAO PRETO;SP;SP2212
503358;1;TABOAO DA SERRA;SP;SP1123
503363;1;SUZANO;SP;SP2216
503373;1;GUARULHOS;SP;SP1117
503374;1;ELIAS FAUSTO;SP;SP2214
503382;1;SANTO ANDRE;SP;SP1118
503385;1;CARAPICUIBA;SP;SP1108
503389;1;BIRIGUI;SP;SP2202
503443;1;SAO PAULO;SP;SP1112
503447;1;SAO PAULO;SP;SP1123
503459;1;BALSAMO;SP;SP2213
503473;1;SAO PAULO;SP;SP1105
503482;1;RIBEIRAO PIRES;SP;SP1118
503483;1;BAURU;SP;SP2207
503484;1;SAO PAULO;SP;SP1111
503499;1;GUARULHOS;SP;SP1117
503501;1;SAO CAETANO DO SUL;SP;SP1104
503505;1;SANTA BARBARA D'OESTE;SP;SP2217
503512;1;MIRASSOL;SP;SP2213
503514;1;SOROCABA;SP;SP2204
503535;1;SAO PAULO;SP;SP1122
503538;1;SAO CARLOS;SP;SP2218
503547;1;PONTAL;SP;SP2212
503570;1;SAO PAULO;SP;SP1116
503571;1;ALFREDO MARCONDES;SP;SP2209
503572;1;BRAGANCA PAULISTA;SP;SP2100
503572;3;BRAGANCA PAULISTA;SP;SP2100
503576;1;ARACATUBA;SP;2206SP
503576;1;ARACATUBA;SP;SP2202
503579;1;SANTO ANDRE;SP;SP1118
503582;1;SAO PAULO;SP;SP1105
503588;1;NOVAIS;SP;SP2206
503589;1;SAO PAULO;SP;SP1116
503607;1;TABOAO DA SERRA;SP;SP1123
503634;1;SAO PAULO;SP;SP1107
503642;1;JACAREI;SP;SP2219
503647;1;SAO PAULO;SP;SP1121
503651;1;SAO JOSE DO RIO PRETO;SP;SP2206
503686;1;SAO PAULO;SP;SP1124
503691;1;SAO PAULO;SP;SP1120
503694;1;PRESIDENTE PRUDENTE;SP;SP2209
503702;1;RIBEIRAO PIRES;SP;SP1118
503707;1;OSASCO;SP;SP1109
503717;1;SAO PAULO;SP;SP1111
503722;1;OSASCO;SP;SP1109
